episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,92.36062,4.01078,7.83604,16,-138.924103,2840.671387
200,14.91521,11.14534,14.87407,30,-90.448456,1851.891357
300,27.40858,13.01944,16.11401,30,-12.239609,301.072784
