episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,6.13433,0.34505,1.75507,12,2.146367,1.772986
200,5.80843,0.46948,5.31572,11,-0.424222,1.250064
300,3.70131,0.25095,1.75441,6,-0.928791,2.206162
400,4.81103,0.89018,3.74043,8,-0.826298,1.119439
500,5.99681,0.59772,2.88711,11,-0.323908,1.453531
600,3.84645,0.25095,1.75441,6,-0.252783,0.503418
