episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.38470,0.35430,2.24039,5,-148.729279,2926.485107
200,97.09647,0.40744,2.96371,8,-114.886719,2237.008301
300,93.41985,4.78850,6.37938,17,-60.069172,1058.071045
