episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.42921,0.52099,1.92266,4,-154.870880,2794.140625
200,96.85194,1.32145,3.15624,7,-110.521072,2148.276611
300,98.04224,0.76095,1.97020,4,-86.928261,1101.905640
