episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,96.78429,0.77886,2.62667,9,-0.220643,2942.003662
200,94.51979,0.57246,3.36053,13,0.675697,2280.103760
300,95.99268,1.51372,3.15450,11,0.302139,1248.084351
