episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,95.76212,1.17148,2.61365,10,-129.968491,2863.126221
200,84.84744,8.10464,9.44203,29,-107.431229,2132.117676
300,90.47546,4.73899,6.63792,16,-84.692307,1236.046021
