episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,96.05742,0.40096,2.23896,8,-0.115024,2842.016846
200,97.42334,0.44498,1.76822,8,-0.035672,2106.410645
300,98.42384,0.19131,1.72183,5,0.032142,1088.254272
