episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,95.33278,3.06220,1.66254,13,-1.778649,2727.326416
200,95.86251,2.14650,2.05475,12,0.535113,1707.535156
300,90.85990,3.53489,2.33878,22,-0.707489,613.234253
