episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,96.75946,1.41115,4.49250,8,-149.584442,2924.135986
200,98.28612,1.18164,1.93099,6,-127.008865,2272.202637
300,92.82617,3.82753,5.62764,13,-85.574234,1190.347046
