episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,95.61362,2.37825,6.02447,13,-49.386242,2959.645752
200,88.84949,6.65677,11.06744,23,-42.252399,2144.848633
300,92.73705,2.13036,5.63753,15,-28.838873,947.790649
