episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,4.86370,4.02985,10.84340,15,0.921895,3.363060
200,4.12288,1.11675,4.57514,8,-0.305755,1.824434
300,2.83351,0.25022,1.64057,4,0.078817,0.377973
400,2.49909,0.45548,2.62562,4,-0.012781,1.929510
500,5.43832,0.29990,1.76333,10,0.043888,1.145130
600,4.65028,0.19111,1.76822,8,-0.182301,2.370525
