episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.67870,0.67508,1.96025,4,0.439895,2976.121094
200,95.26035,0.12912,1.30751,12,-0.684482,2387.681641
300,97.08012,1.80191,3.65283,6,-0.363848,1430.205200
