episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.06157,0.69825,1.97020,4,-50.721592,2912.161621
200,91.67922,3.66979,4.58230,14,-45.371899,2254.266113
300,37.87089,6.83247,18.98965,30,-23.616457,864.730591
