episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,91.50368,2.94033,4.77118,12,-136.354706,2697.215576
200,92.43327,2.99560,7.98541,18,-117.984085,1828.164673
300,91.92797,4.76410,4.71788,16,-73.153442,745.723083
