episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,94.44709,0.62031,4.11859,15,0.318486,2973.747559
200,99.20400,0.27042,0.94746,3,0.189218,2596.985840
300,93.95994,0.78400,6.14360,13,0.019160,1745.231689
