episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.39503,0.58270,2.45050,5,0.650249,2852.655762
200,97.25214,1.35281,3.56803,8,1.917574,2049.878174
300,95.33588,1.79461,2.76321,11,-1.943137,899.463257
