episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,89.79372,4.95964,6.89121,17,-50.173912,2906.918457
200,19.81487,9.23876,12.26490,30,-34.310814,1843.772095
300,87.44709,4.64726,6.86351,18,-28.876810,1203.893799
