episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,96.63873,0.51917,3.43665,7,-50.641468,3065.492432
200,98.58305,0.56812,2.30300,5,-45.112556,2550.836914
300,96.99948,1.58133,3.50341,7,-36.213280,1594.305298
