episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.47810,0.49502,1.48505,3,0.680880,2835.993164
200,95.75858,1.21790,6.33504,9,0.459961,2126.472656
300,98.49552,0.30714,1.72183,5,0.288304,1150.905273
