episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,4.82001,7.20700,7.91301,26,0.188287,4.181468
200,1.59489,2.73673,2.21657,9,1.711209,5.303982
300,4.23643,3.73498,2.66402,12,0.177425,8.789189
400,2.91882,2.79471,4.38203,9,0.160233,10.428602
500,5.28893,15.59320,3.85348,50,0.076032,9.370262
600,4.49897,1.88527,1.83635,11,-0.135089,9.286474
