episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,7.31188,0.25809,4.89508,13,0.691729,2.223744
200,2.45247,0.67892,3.21922,7,-0.527402,3.810354
300,3.34502,0.35936,1.72183,5,0.035244,2.203743
400,5.64187,0.24568,3.34376,11,0.018845,1.120354
500,1.36104,0.11857,1.64547,3,0.126471,0.618689
600,2.54802,0.57090,1.92266,4,-0.066308,0.872236
