episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,11.58787,6.22236,14.66442,30,-2.471498,2274.414551
200,88.93996,2.51359,4.76714,22,2.195032,2022.040405
300,90.03873,1.25327,10.10981,28,-3.375058,881.672058
