episode,G_safety,G_speed,G_comfort,T,L_policy,L_critic
100,98.56989,0.75566,2.88849,5,-50.457703,2916.245605
200,95.99535,2.26741,4.20986,8,-30.553747,1812.429077
300,90.74390,3.35544,4.15773,14,-29.789433,1194.151733
